project,date,energy_produced_mwh,energy_expected_mwh,availability_pct
desert_bloom,2024-05-01,315.84,480.52,98.58
desert_bloom,2024-05-02,312.93,480.52,99.45
desert_bloom,2024-05-03,452.09,480.52,99.09
desert_bloom,2024-05-04,485.38,480.52,100.0
desert_bloom,2024-05-05,511.88,480.52,96.48
desert_bloom,2024-05-06,582.32,480.52,96.11
desert_bloom,2024-05-07,402.22,480.52,99.17
desert_bloom,2024-05-08,608.28,480.52,98.77
desert_bloom,2024-05-09,594.44,480.52,98.86
desert_bloom,2024-05-10,595.95,480.52,100.0
desert_bloom,2024-05-11,533.68,480.52,95.83
desert_bloom,2024-05-12,376.66,480.52,96.03
desert_bloom,2024-05-13,355.18,480.52,97.22
desert_bloom,2024-05-14,498.56,480.52,97.77
desert_bloom,2024-05-15,369.03,480.52,100.0
desert_bloom,2024-05-16,540.33,480.52,96.58
desert_bloom,2024-05-17,491.38,480.52,97.83
desert_bloom,2024-05-18,647.76,480.52,98.89
desert_bloom,2024-05-19,588.64,480.52,100.0
desert_bloom,2024-05-20,345.91,480.52,97.44
desert_bloom,2024-05-21,377.7,480.52,100.0
desert_bloom,2024-05-22,556.28,480.52,99.48
desert_bloom,2024-05-23,506.44,480.52,98.3
desert_bloom,2024-05-24,381.36,480.52,98.92
desert_bloom,2024-05-25,422.57,480.52,100.0
desert_bloom,2024-05-26,413.49,480.52,100.0
desert_bloom,2024-05-27,423.95,480.52,95.83
desert_bloom,2024-05-28,382.04,480.52,100.0
desert_bloom,2024-05-29,398.09,480.52,97.84
desert_bloom,2024-05-30,629.0,480.52,100.0
desert_bloom,2024-05-31,498.87,480.52,99.87
desert_bloom,2024-06-01,457.01,532.0,96.7
desert_bloom,2024-06-02,738.22,532.0,97.42
desert_bloom,2024-06-03,595.79,532.0,96.55
desert_bloom,2024-06-04,623.69,532.0,100.0
desert_bloom,2024-06-05,460.99,532.0,97.58
desert_bloom,2024-06-06,427.78,532.0,100.0
desert_bloom,2024-06-07,601.63,532.0,95.98
desert_bloom,2024-06-08,740.91,532.0,96.15
desert_bloom,2024-06-09,459.81,532.0,100.0
desert_bloom,2024-06-10,548.63,532.0,98.48
desert_bloom,2024-06-11,509.79,532.0,100.0
desert_bloom,2024-06-12,464.05,532.0,98.87
desert_bloom,2024-06-13,551.67,532.0,97.5
desert_bloom,2024-06-14,721.8,532.0,98.26
desert_bloom,2024-06-15,476.96,532.0,96.98
desert_bloom,2024-06-16,493.53,532.0,97.01
desert_bloom,2024-06-17,386.1,532.0,99.42
desert_bloom,2024-06-18,500.16,532.0,100.0
desert_bloom,2024-06-19,364.33,532.0,99.65
desert_bloom,2024-06-20,392.56,532.0,100.0
desert_bloom,2024-06-21,550.68,532.0,100.0
desert_bloom,2024-06-22,572.2,532.0,96.21
desert_bloom,2024-06-23,498.8,532.0,98.43
desert_bloom,2024-06-24,637.23,532.0,100.0
desert_bloom,2024-06-25,392.41,532.0,97.67
desert_bloom,2024-06-26,599.23,532.0,96.77
desert_bloom,2024-06-27,504.02,532.0,97.3
desert_bloom,2024-06-28,510.06,532.0,98.29
desert_bloom,2024-06-29,657.77,532.0,95.94
desert_bloom,2024-06-30,761.83,532.0,100.0
desert_bloom,2024-07-01,503.87,539.35,98.26
desert_bloom,2024-07-02,586.19,539.35,100.0
desert_bloom,2024-07-03,595.11,539.35,96.46
desert_bloom,2024-07-04,541.24,539.35,99.0
desert_bloom,2024-07-05,595.34,539.35,95.87
desert_bloom,2024-07-06,568.21,539.35,100.0
desert_bloom,2024-07-07,488.7,539.35,96.01
desert_bloom,2024-07-08,451.06,539.35,99.58
desert_bloom,2024-07-09,402.73,539.35,100.0
desert_bloom,2024-07-10,471.13,539.35,99.25
